cost_x	cost_y	X0	Y0	Rel_dens
0.001	0.001	0.6	0.3	-1.705100190269344e8
0.001	0.001	0.6	0.4	5.58513169529891e6
0.001	0.001	0.6	0.5	9.230784699495122e8
0.001	0.001	0.6	0.6	2.052783685156808e9
0.001	0.001	0.6	0.7	1.3792982876855469e9
0.001	0.001	0.6	0.8	3.7400900408449364e8
0.001	0.001	0.6	0.9	-2.28328153887928e8
0.001	0.001	0.6	1.0	-5.526592952147121e8
0.001	0.001	0.7	0.0	223376.54281806946
0.001	0.001	0.7	0.1	-2.890266502200532e7
0.001	0.001	0.7	0.2	-1.1165429697155142e8
0.001	0.001	0.7	0.3	-2.1015196398724318e8
0.001	0.001	0.7	0.4	-2.0388431530992842e8
0.001	0.001	0.7	0.5	2.7782839340794325e8
0.001	0.001	0.7	0.6	1.706712185580833e9
0.001	0.001	0.7	0.7	2.344452067277568e9
0.001	0.001	0.7	0.8	1.8986740790714564e9
0.001	0.001	0.7	0.9	9.051838845177984e8
0.001	0.001	0.7	1.0	-3.0446804608184814e7
0.001	0.001	0.8	0.0	298070.47282123566
0.001	0.001	0.8	0.1	-2.9069578468833923e7
0.001	0.001	0.8	0.2	-1.1469116403381658e8
0.001	0.001	0.8	0.3	-2.317080538729124e8
0.001	0.001	0.8	0.4	-3.0730380487751675e8
0.001	0.001	0.8	0.5	-1.3357784360154438e8
0.001	0.001	0.8	0.6	7.518822793019118e8
0.001	0.001	0.8	0.7	2.120569710554153e9
0.001	0.001	0.8	0.8	2.1212027529376078e9
0.001	0.001	0.8	0.9	1.6459244796570864e9
0.001	0.001	0.8	1.0	9.191294848659248e8
0.001	0.001	0.9	0.0	459807.7662858963
0.001	0.001	0.9	0.1	-2.924042046168232e7
0.001	0.001	0.9	0.2	-1.1652608746964979e8
0.001	0.001	0.9	0.3	-2.4528099253263712e8
0.001	0.001	0.9	0.4	-3.684745875992179e8
0.001	0.001	0.9	0.5	-3.6240768572021246e8
0.001	0.001	0.9	0.6	6.002263785443401e7
0.001	0.001	0.9	0.7	1.3360541812003698e9
0.001	0.001	0.9	0.8	1.7954275103933315e9
0.001	0.001	0.9	0.9	1.6018656640599709e9
0.001	0.001	0.9	1.0	1.0757812137508879e9
0.001	0.001	1.0	0.0	925614.7413535118
0.001	0.001	1.0	0.1	-2.8668580552164078e7
0.001	0.001	1.0	0.2	-1.1799026426390457e8
0.001	0.001	1.0	0.3	-2.5305309336643076e8
0.001	0.001	1.0	0.4	-4.0293255110215473e8
0.001	0.001	1.0	0.5	-4.941919008171768e8
0.001	0.001	1.0	0.6	-3.450692238842678e8
0.001	0.001	1.0	0.7	3.630373497757931e8
0.001	0.001	1.0	0.8	1.168541275887126e9
0.001	0.001	1.0	0.9	1.1859431456978073e9
0.001	0.001	1.0	1.0	8.546967143889704e8
0.001	0.01	0.0	0.0	-1.0e6
0.001	0.01	0.0	0.1	-3.5590040567221425e7
0.001	0.01	0.0	0.2	-1.382680824438947e8
0.001	0.01	0.0	0.3	-3.075160456382324e8
0.001	0.01	0.0	0.4	-5.419496145252304e8
0.001	0.01	0.0	0.5	-8.404540545954742e8
0.001	0.01	0.0	0.6	-1.2019692253940375e9
0.001	0.01	0.0	0.7	-1.6253636937169085e9
0.001	0.01	0.0	0.8	-2.1106182307333264e9
0.001	0.01	0.0	0.9	-2.6560904485375476e9
0.001	0.01	0.0	1.0	-3.262663463918425e9
0.001	0.01	0.1	0.0	791183.9089033902
0.001	0.01	0.1	0.1	6.444226858264956e7
0.001	0.01	0.1	0.2	1.3379850330970407e7
0.001	0.01	0.1	0.3	-4.0868707667794824e6
0.001	0.01	0.1	0.4	-9.509474669448614e6
0.001	0.01	0.1	0.5	-1.1613250804050684e7
0.001	0.01	0.1	0.6	-1.2284762189291477e7
0.001	0.01	0.1	0.7	-1.1935535171633005e7
0.001	0.01	0.1	0.8	-1.177407111141491e7
0.001	0.01	0.1	0.9	-1.0116636552086353e7
0.001	0.01	0.1	1.0	-9.677641118735313e6
0.001	0.01	0.2	0.0	1.1804295120563328e7
0.001	0.01	0.2	0.1	5.946705923351692e8
0.001	0.01	0.2	0.2	8.593083962697289e8
0.001	0.01	0.2	0.3	3.1667313661631143e8
0.001	0.01	0.2	0.4	7.169210876605141e7
0.001	0.01	0.2	0.5	2.1572836038012505e6
0.001	0.01	0.2	0.6	-2.7117393504169226e7
0.001	0.01	0.2	0.7	-4.20886496329236e7
0.001	0.01	0.2	0.8	-5.093837125946236e7
0.001	0.01	0.2	0.9	-5.56898778000021e7
0.001	0.01	0.2	1.0	-5.8602569609000206e7
0.001	0.01	0.3	0.0	6.450965541488904e7
0.001	0.01	0.3	0.1	4.383081003655019e9
0.001	0.01	0.3	0.2	5.264998751478308e9
0.001	0.01	0.3	0.3	4.643743836544401e9
0.001	0.01	0.3	0.4	2.6799096663250284e9
0.001	0.01	0.3	0.5	6.696397640451143e8
0.001	0.01	0.3	0.6	2.113530770702665e8
0.001	0.01	0.3	0.7	5.477333669888258e7
0.001	0.01	0.3	0.8	-2.1206557504551888e7
0.001	0.01	0.3	0.9	-6.4228643345983505e7
0.001	0.01	0.3	1.0	-9.191300290516901e7
0.001	0.01	0.4	0.0	4.060191901403903e8
0.001	0.01	0.4	0.1	6.266759173910449e9
0.001	0.01	0.4	0.2	6.684478686618239e9
