X0	Y0	Rel_dens
0.2	8.9	-1.3830259068507195e8
0.2	9.0	-1.3828995839375687e8
0.2	9.1	-1.3826599350673866e8
0.2	9.2	-1.383844038949108e8
0.2	9.3	-1.383867311462593e8
0.2	9.4	-1.3837559918825912e8
0.2	9.5	-1.3834617422527313e8
0.2	9.6	-1.3829774140154266e8
0.2	9.7	-1.384319798263054e8
0.2	9.8	-1.384142271070404e8
0.2	9.9	-1.3834250005699158e8
0.2	10.0	-1.3843008437389755e8
0.3	0.0	7.647687024700982e9
0.3	0.1	8.806700818578962e9
0.3	0.2	9.24885731151165e9
0.3	0.3	9.231743134161467e9
0.3	0.4	8.925337743770248e9
0.3	0.5	8.460963175926886e9
0.3	0.6	7.911064178980125e9
0.3	0.7	7.307403436097244e9
0.3	0.8	6.661273526053896e9
0.3	0.9	5.9780826202834e9
0.3	1.0	5.25825567657469e9
0.3	1.1	4.504554344931181e9
0.3	1.2	3.718696248778123e9
0.3	1.3	2.902235159493635e9
0.3	1.4	2.057833548195281e9
0.3	1.5	1.410436651995019e9
0.3	1.6	9.904731550349884e8
0.3	1.7	6.826358751200294e8
0.3	1.8	4.5202565165910435e8
0.3	1.9	2.784905053147392e8
0.3	2.0	1.4734139443442917e8
0.3	2.1	4.816049875265503e7
0.3	2.2	-2.707714982814598e7
0.3	2.3	-8.46701722858181e7
0.3	2.4	-1.286546270008831e8
0.3	2.5	-1.628213653258934e8
0.3	2.6	-1.8947213167036057e8
0.3	2.7	-2.1036969730670166e8
0.3	2.8	-2.2692067835767937e8
0.3	2.9	-2.4009893741132545e8
0.3	3.0	-2.5078837474307823e8
0.3	3.1	-2.5938844550598145e8
0.3	3.2	-2.6651463789897156e8
0.3	3.3	-2.723699265320339e8
0.3	3.4	-2.770899631731167e8
0.3	3.5	-2.8124198526228714e8
0.3	3.6	-2.8449606719750977e8
0.3	3.7	-2.873942750399246e8
0.3	3.8	-2.8987408079013824e8
0.3	3.9	-2.919118342230835e8
0.3	4.0	-2.9364756430680466e8
0.3	4.1	-2.9537136737338066e8
0.3	4.2	-2.9660148228852654e8
0.3	4.3	-2.978908894008007e8
0.3	4.4	-2.9875960655695724e8
0.3	4.5	-2.997473888240433e8
0.3	4.6	-3.0057527153323364e8
0.3	4.7	-3.0101064793055344e8
0.3	4.8	-3.016670584397793e8
0.3	4.9	-3.022343825385151e8
0.3	5.0	-3.02686040971529e8
0.3	5.1	-3.030397976197758e8
0.3	5.2	-3.037133077419586e8
0.3	5.3	-3.040334615787258e8
0.3	5.4	-3.042520989785633e8
0.3	5.5	-3.043597961248226e8
0.3	5.6	-3.0487274946541977e8
0.3	5.7	-3.0495850696424675e8
0.3	5.8	-3.0533615192852974e8
0.3	5.9	-3.053444825134163e8
0.3	6.0	-3.056659593124294e8
0.3	6.1	-3.0557735774583626e8
0.3	6.2	-3.0591049916215134e8
0.3	6.3	-3.0613158199596214e8
0.3	6.4	-3.059416989563217e8
0.3	6.5	-3.0619604249723244e8
0.3	6.6	-3.063868110380268e8
0.3	6.7	-3.065424391580944e8
0.3	6.8	-3.066550643047848e8
