X0	Y0	Rel_dens
0.3	3.7	-3.167500822032032e8
0.3	3.8	-3.1737930681505585e8
0.3	3.9	-3.1774382844555855e8
0.3	4.0	-3.178421733144665e8
0.3	4.1	-3.1584328487093735e8
0.3	4.2	-3.165424668857002e8
0.3	4.3	-3.1699958189263153e8
0.3	4.4	-3.1721289931910706e8
0.3	4.5	-3.146710131520157e8
0.3	4.6	-3.154976615171375e8
0.3	4.7	-3.1610428136157227e8
0.3	4.8	-3.1648895448791885e8
0.3	4.9	-3.166503995381603e8
0.3	5.0	-3.141616735367756e8
0.3	5.1	-3.1495107680134964e8
0.3	5.2	-3.1553935923872757e8
0.3	5.3	-3.1592497575530624e8
0.3	5.4	-3.161070089591179e8
0.3	5.5	-3.133893810650883e8
0.3	5.6	-3.142030490678139e8
0.3	5.7	-3.148339760416069e8
0.3	5.8	-3.152809603877392e8
0.3	5.9	-3.155431405824871e8
0.3	6.0	-3.156201038342762e8
0.3	6.1	-3.1319409948428345e8
0.3	6.2	-3.139171139241123e8
0.3	6.3	-3.144741794787159e8
0.3	6.4	-3.1486447335162735e8
0.3	6.5	-3.15087514414381e8
0.3	6.6	-3.151431746774578e8
0.3	6.7	-3.125841145534878e8
0.3	6.8	-3.1330251671305275e8
0.3	6.9	-3.1387224088160896e8
0.3	7.0	-3.14292618400877e8
0.3	7.1	-3.145632990753021e8
0.3	7.2	-3.146841824972477e8
0.3	7.3	-3.116155655948162e8
0.3	7.4	-3.1238940025344276e8
0.3	7.5	-3.130308397894707e8
0.3	7.6	-3.1353937163500786e8
0.3	7.7	-3.1391444496354294e8
0.3	7.8	-3.1415604672608376e8
0.3	7.9	-3.1426416813357544e8
0.3	8.0	-3.110700510574894e8
0.3	8.1	-3.118268102691326e8
0.3	8.2	-3.1246590299550056e8
0.3	8.3	-3.1298686163767624e8
0.3	8.4	-3.133893170701561e8
0.3	8.5	-3.1367316667765427e8
0.3	8.6	-3.138384096632843e8
0.3	8.7	-3.1388527354291534e8
0.3	8.8	-3.1087466350242805e8
0.3	8.9	-3.115683814611187e8
0.3	9.0	-3.121576939394131e8
0.3	9.1	-3.1264229929966354e8
0.3	9.2	-3.130220496292763e8
0.3	9.3	-3.132968985516472e8
0.3	9.4	-3.134669471291847e8
0.3	9.5	-3.135324278938503e8
0.3	9.6	-3.1005284560681343e8
0.3	9.7	-3.107653043781395e8
0.3	9.8	-3.113865814594517e8
0.3	9.9	-3.1191643928204155e8
0.3	10.0	-3.122924463582802e8
0.4	0.0	-5.405340232487723e8
0.4	0.1	-3.420636697960889e7
0.4	0.2	-1.0014215572151423e8
0.4	0.3	-1.0312121314481235e8
0.4	0.4	-1.698084165396285e7
0.4	0.5	-1.6028813653136253e8
0.4	0.6	-2.8025448128608656e8
0.4	0.7	-3.7178562566300106e8
0.4	0.8	-4.082677367801261e8
0.4	0.9	-4.927914588481846e8
0.4	1.0	-4.920897106974492e8
0.4	1.1	-5.2454602916416454e8
0.4	1.2	-4.955818804687815e8
0.4	1.3	-5.0724902477896404e8
0.4	1.4	-4.829008590899792e8
0.4	1.5	-5.3198272345825195e8
0.4	1.6	-5.458121863834543e8
0.4	1.7	-5.484388881611929e8
0.4	1.8	-5.541359604305525e8
0.4	1.9	-5.57436368961319e8
0.4	2.0	-5.533456988819218e8
0.4	2.1	-5.565852713675671e8
0.4	2.2	-5.586871366125088e8
0.4	2.3	-5.597516127049408e8
0.4	2.4	-5.546971252014065e8
0.4	2.5	-5.569581623797169e8
0.4	2.6	-5.584199869976826e8
0.4	2.7	-5.590880499131699e8
0.4	2.8	-5.535466531093273e8
0.4	2.9	-5.556545223584385e8
0.4	3.0	-5.570781638995914e8
0.4	3.1	-5.578082103040276e8
0.4	3.2	-5.514095766533241e8
0.4	3.3	-5.536383863832855e8
0.4	3.4	-5.552578693978043e8
0.4	3.5	-5.562565823304443e8
0.4	3.6	-5.566250545656013e8
0.4	3.7	-5.507735658444252e8
0.4	3.8	-5.527658082502079e8
0.4	3.9	-5.54206903350193e8
0.4	4.0	-5.550867365992126e8
0.4	4.1	-5.55397266495184e8
0.4	4.2	-5.494073741875477e8
0.4	4.3	-5.513738637791309e8
0.4	4.4	-5.52843510122736e8
